,Real Entropy,RoG,Jump (median),Num_of_loc,Num_of_days,Frequency (top1),Random Entropy,RoG k2,RoG k4,RoG k8,Median from Home
12715,1.8681403217344663,5477.2341055853285,194.8282223687465,21,29 days 23:32:44,0.6772940019240539,4.392317422778761,6023.392442710218,6124.131338754746,5982.195095141439,29297.731953076152
12716,1.160964047443681,60.3113213032647,1622.664572969613,2,23 days 19:00:14,0.8518938866927351,1.0,60.3113213032647,60.3113213032647,60.3113213032647,1622.664572969613
12717,1.517052098854278,3029.0521103934925,219.4220639454058,14,29 days 22:42:35,0.544439398536343,3.807354922057604,3585.120285622349,3111.655238273137,3132.248639549657,13801.178146887129
12718,1.8704399073168017,7490.644828485065,21298.35738795465,12,29 days 23:20:52,0.5928236689717383,3.584962500721156,8774.603537640209,8382.462464880377,7851.503612918353,42777.41418282333
12719,2.610646488003488,863.0175649353082,5653.399554841539,31,29 days 23:47:36,0.7770621659920903,4.954196310386875,1039.647002198736,1054.1519231144052,961.028927938695,6229.499623827937
12720,1.4264662506490404,385.2520840699461,83.10245095447335,3,29 days 22:49:18,0.9882964326648782,1.584962500721156,3.500255661907894,385.2520840699461,385.2520840699461,83.10245095447335
12723,1.867565979332034,6359.458559382901,9240.888048295365,15,29 days 23:21:23,0.6735218171490488,3.906890595608519,8174.611624603093,7273.207263140256,6662.434789313022,31854.82777635937
12726,1.5972796789143942,4774.047803941135,3222.8158051235814,11,29 days 23:55:59,0.7400973624476659,3.4594316186372973,5966.1561117543815,5181.364401380464,4949.558118815293,3222.8158051235814
12727,1.829333481609162,1700.4951642833469,6677.775982868514,17,29 days 23:53:32,0.6493796139236891,4.087462841250339,1689.0625584698205,1873.366337330512,1810.742995560719,6677.775982868514
12728,1.7236282039449349,161.12100041819997,4532.133575665164,5,25 days 19:39:26,0.9777753471229164,2.321928094887362,175.46005983517037,165.34299257930238,161.12100041819997,4532.133575665164
12730,1.9530011357384816,1618.104699505628,8709.482876763113,11,29 days 23:43:16,0.8763772695905359,3.4594316186372973,1962.8358270567687,1895.2369197362923,1681.7044345410557,11384.134912888772
12731,0.8346067266902387,558.0291150455034,2354.540226838279,6,29 days 23:49:03,0.8423527877243576,2.584962500721156,542.0414877572229,572.6752106523633,558.0291150455034,2354.540226838279
12733,1.9525824207784104,2311.1076920713685,1104.6166605892593,17,29 days 23:20:32,0.6828912370560759,4.087462841250339,300.24319235796656,2584.0530011883297,2471.863989450537,1104.6166605892593
12734,1.5769305884389146,734.4852993385543,4276.826171784989,8,29 days 23:48:24,0.7105731322916956,3.0,779.0258293565444,774.1195315831984,734.4852993385543,4276.826171784989
12735,1.871226614775784,2512.586888903892,2537.19476546344,18,26 days 11:56:57,0.5359722584395941,4.169925001442312,3250.3862982261285,3060.8406385900844,2771.595847948748,10887.699774513014
12736,1.160964047443681,366.14242605214935,5108.042283362291,2,28 days 21:53:09,0.98374132151903,1.0,366.14242605214935,366.14242605214935,366.14242605214935,5108.042283362291
12739,2.3191337695285617,1607.5048655458352,11348.284814071189,11,29 days 21:30:53,0.461472915964171,3.4594316186372973,1827.0290670371417,1857.1653443718308,1677.3107028964218,15332.814455021657
12741,2.1330567447499043,2793.645482631917,11804.201215494582,10,27 days 05:19:14,0.6286024301495693,3.321928094887362,3141.806886165069,3108.372121818622,2888.2555937039347,11804.201215494582
12742,2.904335748755396,227.22241244476285,4853.699755836828,21,29 days 23:54:02,0.8708382562097697,4.392317422778761,235.996480113095,240.00673545174664,241.01415424422183,4873.115594474781
12744,1.5364125003090667,191.3907802559073,2873.953870496685,4,29 days 23:43:49,0.9780033338106212,2.0,4.079777706756361,191.3907802559073,191.3907802559073,2873.953870496685
12748,1.0596026490066226,4910.253053693011,22261.75264940633,6,28 days 00:52:49,0.6938125446618578,2.584962500721156,5178.648552858106,5071.226107889296,4910.253053693011,22261.75264940633
12749,2.462530937516407,877.9970541596922,1768.5454024412547,19,29 days 23:47:20,0.873217455735478,4.247927513443585,36.16615029200358,741.2528012417874,963.5045229039856,1768.5454024412547
12751,1.962524805922425,66.71388706146057,2225.80493954198,7,27 days 19:48:46,0.9374467062042504,2.807354922057604,18.611405158485,54.977948664729865,66.71388706146057,2225.80493954198
12752,0.9830841782373264,3142.21372029202,11185.156601880924,9,29 days 23:38:43,0.6727998323247989,3.169925001442312,3402.35049272712,3338.895472351803,3168.218063689124,11185.156601880924
12754,1.2125334502095748,2807.8522077936964,12040.348387466402,6,29 days 23:42:39,0.8038043056644277,2.584962500721156,3006.366632274422,2882.7313359972136,2807.8522077936964,12040.348387466402
12756,2.171063513187305,355.6810219207612,3657.8220206689457,9,29 days 23:50:52,0.9137865567257276,3.169925001442312,49.08790793999484,428.4345792358965,361.0878243479585,3657.8220206689457
12757,1.712611253490213,1491.6733843515185,7723.633564263437,8,21 days 15:02:21,0.7563302062946438,3.0,1738.4228225847703,1642.7816574828207,1491.6733843515185,7723.633564263437
12758,0.8174925682500679,1786.8782634777706,9447.270159375434,2,27 days 08:02:31,0.8532957115292849,1.0,1786.8782634777706,1786.8782634777706,1786.8782634777706,9447.270159375434
12760,1.6842208258144136,4247.127011706958,19771.42783826508,10,29 days 22:24:23,0.7385536583093057,3.321928094887362,5060.0280848384255,4611.31443285135,4330.856302460688,19771.42783826508
12761,1.7735749140753685,1454.691790004122,14538.83312787376,9,29 days 23:49:16,0.9003112656076587,3.169925001442312,1649.324792741595,1592.3120885900155,1479.4845563238391,14538.83312787376
12762,2.3911063743316543,1360.974720527382,5888.927211772999,20,29 days 23:12:16,0.6952029557350405,4.321928094887363,1750.3783357138227,1635.4241788614604,1545.677090501348,5888.927211772999
12764,2.2906966712918133,255.8214721887101,2803.283539937296,15,29 days 23:18:16,0.8067986975071597,3.906890595608519,124.4912501610849,268.12488296868565,264.2326909300434,2822.771550164575
12765,1.101285799123806,112.94317797163455,301.0509417997532,5,27 days 16:30:27,0.8686934810116264,2.321928094887362,61.16030948079224,114.30524293638231,112.94317797163455,301.0509417997532
12766,1.7623703005669866,1042.1419086979288,4450.334579717004,21,29 days 06:01:05,0.7453895812271368,4.392317422778761,645.2163251325662,1063.1800844267232,1110.1558812783271,4450.334579717004
12767,2.0749471285936485,395.3190008359601,2116.2283139553574,13,29 days 23:43:17,0.8306860254952051,3.700439718141092,158.31235082129095,400.04859222795966,402.7047973229498,2116.2283139553574
12768,2.946016254550241,1134.2405036550292,3520.891638367618,22,29 days 22:48:40,0.3959941570185337,4.459431618637297,186.67114277630023,1098.8206314864717,1339.5314771430485,3350.987517860202
12769,2.371770680477405,460.06927688485246,2573.312889663346,17,29 days 23:41:55,0.7526240729626407,4.087462841250339,546.4391897854366,504.778400266293,484.6748580786775,2634.2079107829964
